리뷰,점수,감정판단
몸통은 크고 목은 너무 딱 맞아떨어지지만 목부분 지퍼를 좀 내려주면 진짜 편하고 따뜻하게  잘 입힐수 있는 디자인이예요~ 저희 강아지가 현재 가장 좋아하는 옷이기도 하구요 등길이가 길어서 엉덩이까지 덮이니까 목지퍼만 내려서 입히면 널널한데 따뜻한지 엄청 편해하더라구요~ 그리고 지퍼가 등쪽에 달려서 주인 입장에서는 지퍼잠그기 편하구 강아지입장에서는 지퍼가 목쪽에 거슬리지않아서 더 편한 거 같아요,5,1
등길이도 맞고 사이즈가 진짜 저희 강아지한테 딱이예요! 토이푸들인데 다른 아가들에 비해서 진짜 작은 사이즈거든요~ 살이쪄서 3키로대이지만 원래는 1.8키로대였던 요크셔보다 아주 살짝 등길이가 깁니다. 이 디자인은 진짜 입히면 벗기기 싫은 옷이예요 사진으로 볼때는 한번 입혀볼까 였는데 입히니까 진짜 너무 예뻐요! 갈색푸들이라 핑크계열 너무 잘 어울리는데 이 올인원입혀놓으니까 진짜 금상첨화예요ㅎㅎ,5,1
"조끼는 재구매했어요. 너무 신축성좋고 따뜻해서 겨울내내 입히고싶어 또 샀네요. 올인원은 뒷다리가 자꾸빠져요. 이쁘긴해요. 배송이 두번와서 두번째 또 온건5일동안 보관하다 연락없길래 빨았는데 빨자마자 돌려달라 연락왔네요ㅎㅎㅎ근데 이런경험 있는사람이 많더라고요? 제가 잘못한거라 바로 이체해드리긴 했지만, 주변얘기들이 일부러 상품받고 며칠후에 기다리다 사용햇을때쯤 연락하는거라고  하는말을 들으니 좀 기분이 그르네요. 설마   아니겠죠. 직원분이 실수하신거겠지.",5,1
후리스는 좀 작게 나왔어요~ 사람이 입어도 후리스는 달라붙게 몸에 딱맞게 입어야 이쁘잖아요 이 제품도 그렇긴 한데 진짜 너무 딱 달라붙어서 입히면 이쁘긴한데 목부분 꽉끼고 목살삐져나오다가 지퍼가 혼자 내려가고 그게 좀 아쉽네요ㅠ 그래도 다이어트중인 상황이라  입히고는 있습니다~ 더 빼면 그때는 더 잘 맞겠죠?ㅠ,5,1
여러분 이 상품 꼭 사세요ㅠ!!! 사진보다 실물이 훨씬 귀여운 옷이에요ㅠㅎㅎ 구매한 옷들 중에 이 옷이 가장 마음에 들었어요! 귀염포텐 터집니다ㅎㅎ 신축성도 살짝 있어서 사이즈도 딱 잘맞구요 활동성도 괜찮아보여요! 저희집 포메가 등길이 31cm에 가슴둘레가 50cm정도 인데 L사이즈가 딱 맞았어요! 등길이 40cm 정도인 푸들한테도 예쁘게 잘맞아요. 사이즈 잘재셔서 신축성 고려해서 구매하시면 실패 없으실 것 같아요~,5,1
별수면 조끼. 너무 예뻐요~ 냄새도 없고 촉감도 좋아요. 옷 입는것 싫어해서 평소에는 안 입고 있는데 옷이 예뻐서 주문했어요.  입을때는 싫어라 했는데 가벼워서 강아지가 옷 입은 줄 모르는것 같아요.^^  주문할때 사이즈 고민 많이 해서 다른분들  참고만 하세요. 코카스파니엘. 노견. 살이 좀 쩌서 8.2kg. 가슴50. 목 30.  강아지 체형이 옷 사이즈하고는 안 맞아서 걱정했는데 2XL 괜찮네요. 후리스는 아직 못 입혀봤습니다.,5,1
극세사 재질이라 안감까지 부들부들해서 너무 좋아요! 그리고 디자인도 너무 예뻐서 샀구요😚 토순이 조끼가 인기가 많더라구요!!!  사이즈 팁💡  상세 사이즈표 참고하세요. 저는 후기보고 작다고 하시는분 많아서  일부로 한치수 크게 샀다가 망했어요 ㅠㅠ 저희 아가는 평소m 입고 푸들이라 등이 길거든요   (28센치 오네요)후기들도 등길이가 하도 짧다는 평이 많아서 고민하다가 L사이즈로 주문했는데... 역시나...품이 너무 크네요 ㅠ 교환비가 5000원이라 그냥 입지만.. m으로 살걸 크게 후회중이예요... m하고 L 두개 구입했는데 m은 입으니까 딱 맞더라구요ㅠㅠ 그리고 사이즈 차이가 너무 커요.... 다시 말하지만 품이 진짜 너무 큽니다...ㅎㅎㅎ 아기 치수 재서 사이즈표랑 비교해서 구매하세요,5,1
"핑크색상이 XL가 품절이어서 L로 주문했는데, 품은 맞지만 푸들이라 등길이가 짧네요ㅎㅎ 예상한 부분이라 만족해용ㅎㅎ 네이비 색상은 포메에게 아주 딱 알맞게 잘맞았습니다! 촉감도 부들부들 해서 애기들이 편하게 있는 것 같아요~ 입혀놓으니 귀여워요ㅎㅎ 저렴한 가격에 가성비 좋은 상품이네요!",5,1
옷 진짜 너무너무너무 귀여워요 ㅠㅠㅠ  제가 자주 하는 강아지 카페 커뮤에 글 올려서 자랑했더니  여기저기 이쁘다고 난리 옷 정보 달라는 사람이 너무 많았아요😚 극사세 원단이라 안감까지 너무 부들부들해요!   사이즈 팁💡  상세 표기에 나온대로 보고 사세요 ㅠㅠ 저는 후기들이 하도 등길이가 짧다고 해서 일부로 한치수 크게 샀는데 진짜 너무 커요;; 폼도 너무 커서 산적같아요... 여러분 무조건 아기 등길이 치수 재서 확인하고 사세요.,5,1
분명히 저는 선물용이라고 말씀 드렸고..오늘 상품을 받아서 바로 열어보니 여러군데 바느질이 미흡한 부분이 보였습니다 그래서 금액이 저려하니까 괜찮타고 생각하려던 찰라  원피스 허리에 리본 실밥이 튀어나와 리본이 삐툴비툴 하더군요..가위로 실밥을 살짝 잘랐습니다..  그런데 리본이 풀리더군요  아무리 저렴하게 팔아도 이건 아닌것같네요ㅡㅡ,5,1
